topic,t,lost,matches,inliers,features,icp_inliers_ratio,local_map_size
/rtabmap/odom_info_lite,1780715190.808652401,0,0,0,0,0.447770,0
/rtabmap/odom_info,1780715190.809927225,0,0,0,0,0.447770,0
/rtabmap/odom_info,1780715190.971278191,0,0,0,0,0.460702,0
/rtabmap/odom_info_lite,1780715190.971920967,0,0,0,0,0.460702,0
/rtabmap/odom_info_lite,1780715191.169707060,0,0,0,0,0.440793,0
/rtabmap/odom_info,1780715191.171344519,0,0,0,0,0.440793,0
/rtabmap/odom_info_lite,1780715191.370612860,0,0,0,0,0.432733,0
/rtabmap/odom_info,1780715191.371030331,0,0,0,0,0.432733,0
/rtabmap/odom_info_lite,1780715191.704319239,0,0,0,0,0.464488,0
/rtabmap/odom_info,1780715191.707306623,0,0,0,0,0.464488,0
/rtabmap/odom_info_lite,1780715191.930357933,0,0,0,0,0.463239,0
/rtabmap/odom_info,1780715191.932294607,0,0,0,0,0.463239,0
/rtabmap/odom_info_lite,1780715192.121071100,0,0,0,0,0.464232,0
/rtabmap/odom_info,1780715192.121670723,0,0,0,0,0.464232,0
/rtabmap/odom_info_lite,1780715192.313579321,0,0,0,0,0.467555,0
/rtabmap/odom_info,1780715192.314403534,0,0,0,0,0.467555,0
/rtabmap/odom_info_lite,1780715192.516108990,0,0,0,0,0.441117,0
/rtabmap/odom_info,1780715192.516912937,0,0,0,0,0.441117,0
/rtabmap/odom_info_lite,1780715192.752844572,0,0,0,0,0.415088,0
/rtabmap/odom_info,1780715192.757741928,0,0,0,0,0.415088,0
/rtabmap/odom_info_lite,1780715192.947845459,0,0,0,0,0.416901,0
/rtabmap/odom_info,1780715192.948563099,0,0,0,0,0.416901,0
/rtabmap/odom_info_lite,1780715193.131400108,0,0,0,0,0.407605,0
/rtabmap/odom_info,1780715193.132210493,0,0,0,0,0.407605,0
/rtabmap/odom_info_lite,1780715193.313655615,0,0,0,0,0.429942,0
/rtabmap/odom_info,1780715193.314230204,0,0,0,0,0.429942,0
/rtabmap/odom_info_lite,1780715193.479522467,0,0,0,0,0.404826,0
/rtabmap/odom_info,1780715193.480067968,0,0,0,0,0.404826,0
/rtabmap/odom_info_lite,1780715193.704837561,0,0,0,0,0.376471,0
/rtabmap/odom_info,1780715193.705345631,0,0,0,0,0.376471,0
/rtabmap/odom_info_lite,1780715193.971380472,0,0,0,0,0.357464,0
/rtabmap/odom_info,1780715193.972180605,0,0,0,0,0.357464,0
/rtabmap/odom_info_lite,1780715194.186968803,0,0,0,0,0.374959,0
/rtabmap/odom_info,1780715194.187551737,0,0,0,0,0.374959,0
/rtabmap/odom_info_lite,1780715194.376194715,0,0,0,0,0.357445,0
/rtabmap/odom_info,1780715194.376704216,0,0,0,0,0.357445,0
/rtabmap/odom_info_lite,1780715194.642816782,0,0,0,0,0.390947,0
/rtabmap/odom_info,1780715194.644000292,0,0,0,0,0.390947,0
/rtabmap/odom_info_lite,1780715194.893101931,0,0,0,0,0.390295,0
/rtabmap/odom_info,1780715194.894359350,0,0,0,0,0.390295,0
